group1_to_group2_ss,group1_to_group2_ssv,group1_to_group3_ss,group1_to_group3_ssv,synergy_sparseness_group1,synergy_sparseness_group2,synergy_sparseness_group3
0.14965459270449938,0.17848928568435837,0.14744958759177307,0.17806641021551442,0.6928990154767053,0.6939230503178792,0.6215206252151718
0.23180236548399985,0.24962354667194406,0.23583954168063556,0.2314945001315844,0.5005754449350278,0.7911232844849752,0.9068491399359271
0.2247573487488666,0.2322857549513749,0.2239895522896644,0.2291433256623703,0.44892441268500205,0.5457858748305496,0.5713617663788393
0.11718386276515336,0.16488844300219627,0.10934724556905992,0.15349897636563578,0.973915851334188,0.5670625453908981,0.663193980650123
0.21899865571689967,0.24278113382746805,0.20110685444301543,0.22180021724555196,0.5547479008243712,0.4853694529576297,0.6219174326348516
0.2548230636938588,0.25066626987573926,0.2559798162970728,0.23033646807438662,0.35316965902951863,0.6143829050993191,0.39085581079051257
0.20011696566820542,0.20841617017286085,0.20317383935880418,0.2122304176522008,0.4880435181914704,0.5661320433108831,0.5143702006665675
0.17281132112941758,0.2044749694682304,0.1430362778806228,0.1706358480383557,0.6822011692646027,0.5017644397418364,0.49212039912102934
0.19495149542727536,0.19248107120360375,0.19730236451004382,0.19534173467384786,0.4309117386112299,0.586227996484458,0.3906036738136868
0.14266496627434316,0.21561072734898512,0.1383194176609752,0.20739548615602804,0.8909777646933812,0.826012503947784,0.7443597468343662
0.2015620888601636,0.22671580102376176,0.20436562173134382,0.22623202355645092,0.5714376932464005,0.7953003436513586,0.536900652831589
0.1717317440497094,0.20187146634774347,0.16357330090110903,0.19447316739529127,0.6642035990512083,0.5349382803443451,0.5386567124572146
0.1948986550387106,0.22814122467246295,0.1864651498297019,0.21054353853378183,0.5899065490764843,0.6756857467405838,0.7594326783407039
0.16387734221566705,0.17774845547473758,0.18067189791056873,0.1946759230903372,0.6319104296673248,0.7020981640345927,0.5396891943208899
0.22151582689758512,0.23996349968572064,0.22478363576060342,0.22271157955113496,0.4597703788141727,0.37521337291536677,0.5010765994747701
0.18031024371646787,0.22613873885655997,0.18532503877926002,0.22492356068297295,0.7288144840510693,0.5701168319595791,0.48734071126000256
0.17701671598685814,0.21021826468509325,0.1750246662533826,0.20925669056011345,0.7197228247556194,0.501079801592781,0.5223017244994823
0.12132507262051535,0.12776450155775293,0.12440624599692053,0.14304081885048806,0.7272465028871258,0.6798259906608701,0.8077250730782056
0.18238655822331692,0.22306337857978772,0.1738376698516392,0.20697366212942614,0.6961091972696882,0.6443976868880841,0.6746976737401845
0.22058143243628717,0.24422034298069098,0.21374226027352747,0.219447476719408,0.5292931059794456,0.6393386259607993,0.8438121395037745
0.1808872722694487,0.2195079284070409,0.1720845557981421,0.21119169815016017,0.7569999536908253,0.5771980281723088,0.9275583698151447
0.23433621157836823,0.23288013524944687,0.22015047947163022,0.21729708016054122,0.4686868879158048,0.6485832499823252,0.6556923665759045
0.19978072174803807,0.2325050081216471,0.18954047024858908,0.210519432950714,0.5988225225441648,0.5734258262908681,0.5617080193745801
