0-1_mmd,0-2_mmd,1-2_mmd
0.003385842,0.019168008,0.19795236
0.00993319,0.014637392,0.20431006
0.005414522,0.013957606,0.18951853
0.004141795,0.010223093,0.17559958
0.005398168,0.009412621,0.19068877
0.005708548,0.015519032,0.22216356
0.005872816,0.010360512,0.19673583
0.004942365,0.00920956,0.20868862
0.002785004,0.011462581,0.1996615
0.006541411,0.009958001,0.2534496
0.002821334,0.011383454,0.16975789
0.005000178,0.00825236,0.1830986
0.005617372,0.008257771,0.1896694
0.006882169,0.010214137,0.25115553
0.003631672,0.018213045,0.18834172
0.004367994,0.01051213,0.25981605
0.00615654,0.010093559,0.22097762
0.00682939,0.013429606,0.15540928
0.002309468,0.0086226,0.1355942
0.006427717,0.013403388,0.22158723
0.003080522,0.0156393,0.1939582
0.005546048,0.015731359,0.22057347
0.004653632,0.011468317,0.23884653
0.006032386,0.012464436,0.26043162
0.002869315,0.008826035,0.15716922
0.005358713,0.010317912,0.19351627
0.006773419,0.010999259,0.20482069
0.004782317,0.011801361,0.20461243
0.005862925,0.008366236,0.15980779
0.004942767,0.012209464,0.19867833
0.006690942,0.009323401,0.20167607
0.003495385,0.009928011,0.21733516
0.006162134,0.023930412,0.19695015
0.005695164,0.008591075,0.15897389
0.005601191,0.008044766,0.14695767
0.003035841,0.01399916,0.22486085
0.004468147,0.01506992,0.22701856
0.006909152,0.01004768,0.1938777
0.004842975,0.010348902,0.1887189
0.006570181,0.012793521,0.19779561
0.004866726,0.010393937,0.20533654
0.003921608,0.009866642,0.18588498
0.005565457,0.012702415,0.18647029
0.006095624,0.009851381,0.19024342
0.008671614,0.009723745,0.20983002
0.002982877,0.010724893,0.1617899
0.007748568,0.010119705,0.25817287
0.003427319,0.008359803,0.15643407
0.007327611,0.009976609,0.19368456
0.004239935,0.008105524,0.19331115
0.004759912,0.009359182,0.19958828
0.004164419,0.010345914,0.19092
0.006341024,0.012523731,0.16881257
0.006899092,0.009109978,0.19153884
0.007318339,0.014427996,0.19652976
0.007419903,0.011839235,0.19331768
0.005021218,0.010794715,0.16565768
0.004097541,0.00859309,0.19011275
0.003471328,0.018479148,0.19511785
0.005232487,0.009070098,0.20027137
0.006490015,0.012855234,0.2015408
0.004826071,0.007688045,0.18020499
0.008421309,0.010327097,0.18406357
0.004306142,0.012801955,0.19516316
0.00518991,0.010565619,0.19864687
0.007050046,0.010659095,0.21414126
0.005979858,0.015342305,0.21668871
0.007771505,0.014122515,0.19440079
0.004359616,0.011178987,0.2380395
0.006929292,0.012734951,0.18758045
0.005982984,0.012978273,0.23707916
0.008802364,0.012549326,0.24091782
0.006155834,0.010858629,0.18558079
0.005437368,0.009026571,0.22794026
0.0053892,0.014193481,0.20223944
0.00845381,0.010909996,0.18976083
0.005422216,0.008672032,0.16440715
0.005805496,0.011979975,0.20053379
0.004355513,0.006100386,0.17747201
0.00571748,0.011235798,0.21604213
0.003199833,0.008123635,0.16668837
0.004673892,0.00898066,0.18838562
0.005306557,0.015523586,0.1934362
0.005584182,0.013975164,0.21541636
0.004194341,0.008647581,0.20240015
0.005950356,0.007763151,0.1740016
0.00937818,0.013230241,0.22476423
0.004806672,0.013108715,0.24536568
0.006781815,0.00876402,0.21266982
0.003747842,0.010641764,0.20148319
0.004413586,0.017504698,0.19197585
0.005231187,0.01355241,0.23045307
0.005493671,0.011742431,0.21979617
0.00442166,0.00999817,0.2121076
0.0060701,0.009268753,0.15233606
0.006142975,0.009955588,0.15992406
0.003328688,0.011565402,0.1896546
0.007607096,0.011342692,0.22045623
0.005369847,0.01153148,0.19418454
0.005002243,0.010206382,0.17344484
